passage_id,arret_id,ligne_id,horaire,nb_voyageurs
P00001,A0057,L02,2026-06-01 08:15:14,8
P00002,A0014,L11,2026-06-01 21:05:37,27
P00003,A0005,L01,2026-06-01 07:32:38,1
P00004,A0009,L04,2026-06-01 21:26:14,28
P00005,A0036,L05,2026-06-01 05:48:51,10
P00006,A0014,L07,2026-06-01 07:13:48,21
P00007,A0014,L02,2026-06-01 18:54:22,38
P00008,A0031,L01,2026-06-01 21:07:59,24
P00009,A0011,L09,2026-06-01 08:36:12,45
P00010,A0009,L01,2026-06-01 18:05:54,14
P00011,A0013,L07,2026-06-01 08:10:23,22
P00012,A0009,L11,2026-06-01 06:38:40,10
P00013,A0047,L12,2026-06-01 09:24:17,40
P00014,A0060,L09,2026-06-01 08:53:49,3
P00015,A0028,L01,2026-06-01 15:17:04,13
P00016,A0053,L12,2026-06-01 09:25:56,41
P00017,A0047,L03,2026-06-01 07:47:35,34
P00018,A0031,L12,2026-06-01 19:23:14,8
P00019,A0050,L08,2026-06-01 06:55:07,9
P00020,A0056,L03,2026-06-01 15:38:04,24
P00021,A0042,L10,2026-06-01 21:16:35,0
P00022,A0059,L12,2026-06-01 08:49:41,21
P00023,A0015,L05,2026-06-01 19:00:46,16
P00024,A0049,L03,2026-06-01 16:55:40,19
P00025,A0057,L09,2026-06-01 17:23:48,10
P00026,A0037,L09,2026-06-01 14:31:01,7
P00027,A0040,L05,2026-06-01 07:56:36,5
P00028,A0011,L12,2026-06-01 16:48:34,8
P00029,A0006,L11,2026-06-01 17:16:33,38
P00030,A0044,L04,2026-06-01 12:45:19,25
P00031,A0009,L11,2026-06-01 19:07:15,14
P00032,A0009,L06,2026-06-01 07:37:14,0
P00033,A0010,L12,2026-06-01 17:04:57,2
P00034,A0009,L02,2026-06-01 18:42:31,13
P00035,A0037,L03,2026-06-01 20:15:50,30
P00036,A0022,L04,2026-06-01 09:22:27,26
P00037,A0048,L12,2026-06-01 06:03:25,21
P00038,A0014,L04,2026-06-01 09:08:27,11
P00039,A0032,L08,2026-06-01 06:28:51,35
P00040,A0013,L01,2026-06-01 16:05:59,15
P00041,A0021,L07,2026-06-01 17:55:25,3
P00042,A0021,L07,2026-06-01 09:16:59,29
P00043,A0033,L07,2026-06-01 19:09:12,18
P00044,A0026,L01,2026-06-01 16:47:20,3
P00045,A0007,L10,2026-06-01 17:03:32,5
P00046,A0023,L02,2026-06-01 17:25:07,36
P00047,A0015,L10,2026-06-01 16:26:42,37
P00048,A0053,L09,2026-06-01 08:13:42,45
P00049,A0036,L04,2026-06-01 07:42:41,19
P00050,A0047,L06,2026-06-01 10:00:29,39
P00051,A0053,L02,2026-06-01 07:32:16,8
P00052,A0038,L02,2026-06-01 14:18:10,28
P00053,A0037,L12,2026-06-01 06:42:52,35
P00054,A0004,L11,2026-06-01 07:16:07,6
P00055,A0040,L03,2026-06-01 07:45:21,13
P00056,A0059,L11,2026-06-01 21:31:16,3
P00057,A0012,L11,2026-06-01 18:02:00,21
P00058,A0006,L11,2026-06-01 11:47:28,35
P00059,A0028,L07,2026-06-01 16:04:56,44
P00060,A0019,L09,2026-06-01 08:37:35,9
P00061,A0036,L03,2026-06-01 08:57:59,2
P00062,A0039,L04,2026-06-01 16:22:49,35
P00063,A0022,L10,2026-06-01 12:55:10,11
P00064,A0022,L01,2026-06-01 08:50:59,26
P00065,A0009,L12,2026-06-01 13:10:50,44
P00066,A0014,L07,2026-06-01 20:14:12,29
P00067,A0038,L05,2026-06-01 12:14:01,42
P00068,A0024,L07,2026-06-01 06:49:17,22
P00069,A0055,L09,2026-06-01 18:01:07,16
P00070,A0022,L10,2026-06-01 13:02:06,38
P00071,A0036,L06,2026-06-01 14:27:38,32
P00072,A0015,L07,2026-06-01 12:16:02,45
P00073,A0036,L01,2026-06-01 17:23:27,4
P00074,A0009,L06,2026-06-01 16:46:57,19
P00075,A0049,L05,2026-06-01 18:25:44,18
P00076,A0040,L03,2026-06-01 09:43:47,11
P00077,A0027,L10,2026-06-01 06:19:18,13
P00078,A0036,L10,2026-06-01 18:29:28,28
P00079,A0058,L04,2026-06-01 17:42:05,18
P00080,A0050,L11,2026-06-01 18:05:52,15
P00081,A0058,L05,2026-06-01 07:09:01,2
P00082,A0015,L08,2026-06-01 16:29:26,40
P00083,A0054,L04,2026-06-01 15:31:25,15
P00084,A0018,L11,2026-06-01 16:49:27,14
P00085,A0022,L12,2026-06-01 16:35:15,7
P00086,A0047,L03,2026-06-01 21:35:38,20
